text,label,source,writing_style
شفتها تسكر في المندرة مع ناس كرز في سوسة...ملهط,negative,kaggle_moroccan_sentiment,mixed
Masmanha,negative,kaggle_moroccan_sentiment,mixed
راه تكلاسا هاد العام الرتبة الاولى عالميا ونتي تتقولي جوج مرات صنف من افضل فنادق العالم,positive,huggingface_darija_reviews,Arabic
عملت  العاااااااار.  لا ذات ولا صفات,negative,kaggle_moroccan_sentiment,mixed
قداش ممسطك و مرمزك,negative,kaggle_moroccan_sentiment,mixed
جعفور  متالق  وصل,positive,kaggle_moroccan_sentiment,mixed
منين جباه هل البقرة,negative,kaggle_moroccan_sentiment,mixed
bravo lotfi dima chab33a tho7k m3ak,positive,kaggle_moroccan_sentiment,mixed
انا اشك في اسلامه انه يهوهدي متطرف.يريد الفاحشة في المسلمين,negative,kaggle_moroccan_sentiment,mixed
الي الجحيم يا متثقف يا متاع اليونان,negative,kaggle_moroccan_sentiment,mixed
Tfattak mahleha,positive,kaggle_moroccan_sentiment,mixed
maset laset ken hetha motha9af wa 3ala donya salem w n9oulou twatha3 chwaya b rabbi,negative,kaggle_moroccan_sentiment,mixed
❤❤❤❤👍👍,positive,kaggle_moroccan_sentiment,mixed
ya mase55555,negative,kaggle_moroccan_sentiment,mixed
انسان جاهل و متخلف و من ابرز هيواياتوالتلحيس و هزان الطحين وزيد عندو الوبنى في قفلة الصباط نلوم عليكم انتم جايبين واحد رخيص و خامج كيفوا,negative,kaggle_moroccan_sentiment,mixed
hhh slee3,negative,kaggle_moroccan_sentiment,mixed
3emlet l3ar,negative,kaggle_moroccan_sentiment,mixed
Bravo kadouja abda3ti ......,positive,kaggle_moroccan_sentiment,mixed
La howa majhad kayhayad kolshi zwin,positive,huggingface_darija_reviews,Arabizi
wlah m3alm wlh mch nrml mch 3adi,positive,kaggle_moroccan_sentiment,mixed
Bravo walid yonser dinek,positive,kaggle_moroccan_sentiment,mixed
قالو سهرية سخونة مقرونة جارية هي ثبت روحك هذي مهزلة يا معلم,negative,kaggle_moroccan_sentiment,mixed
إنت معلم يا جعغور,positive,kaggle_moroccan_sentiment,mixed
مقداد السهيلي كم هائل من المساطة الفنية والفرينة السياسية...,negative,kaggle_moroccan_sentiment,mixed
bravooooooooooooooooooooooo walid (y),positive,kaggle_moroccan_sentiment,mixed
4200 درهم على تلفون فيه غا الديزاين و الشاشة القوية.... لا معالج مزيان لا صوت ستيريو لا بلاصة الكارط ميموار لا منفذ جاك 3.5 ملم... و بهاذ الثمن و حتى الكاميرات راه ديال الفئة الاقتصادية... هادشي بزاااااااااااف,negative,huggingface_darija_reviews,Arabic
مروى العقربي طفلة مزيانة او متخلقة او نقلها برافوا واصل,positive,kaggle_moroccan_sentiment,mixed
صراحة فيلم روعة وثنائي في القمّة .,positive,huggingface_darija_reviews,Arabic
Tfouuuuuuuh 3a rhout,negative,kaggle_moroccan_sentiment,mixed
خويا الغالي نحبك راني ..ربي يدوم هاك الضحكة المزيانة وانشاء الله ديما مشرفنا,positive,kaggle_moroccan_sentiment,mixed
فلم حااامض 🫣,negative,huggingface_darija_reviews,Arabic
mchallah 3lik rabi m3ak,positive,kaggle_moroccan_sentiment,mixed
bravo walid 3jebtni,positive,kaggle_moroccan_sentiment,mixed
الله يستر على فيلمات آخر الزمان تخربيقة صافي,negative,huggingface_darija_reviews,Arabic
نعزها و انقدرها برشا,positive,kaggle_moroccan_sentiment,mixed
M3alem.    Yetkalem,positive,kaggle_moroccan_sentiment,mixed
Bravo maître naji jalol rajel yokhed rajel,positive,kaggle_moroccan_sentiment,mixed
بصراحة الطفلة محلاها و مزينها و قداش صريحة و متربية,positive,kaggle_moroccan_sentiment,mixed
Tout simplement m3alem,positive,kaggle_moroccan_sentiment,mixed
3malty lfade7,negative,kaggle_moroccan_sentiment,mixed
تمن مبالغ فيه بزاف فدول اخرى راه داير غير 280 دولار,negative,huggingface_darija_reviews,Arabic
bourjouliya braaaavooo,positive,kaggle_moroccan_sentiment,mixed
yestehel mamset hal manther  raht ...,negative,kaggle_moroccan_sentiment,mixed
زوين  بزاف,positive,huggingface_darija_reviews,Arabic
لاااااكن راه سامسونغ مادامت غاديا تبيع الشارجور  بشكل منعزل عن الهاتف فهذا هو النصب بعينيه اللي تعلماتو سامسونغ من منافستها ابل. و شكون ضمن ليا غادي نشريه شارجور دوريجين باش غادي نعرفو انا هذا بغض لنظر على الثمن الزائد ديالو ايلا لقيتو؟؟؟؟؟؟؟؟؟,negative,huggingface_darija_reviews,Arabic
تقول ما نلبسش 2pièce في البحر و انت عريانه في الكليب عملتي العار,negative,kaggle_moroccan_sentiment,mixed
معلم و أنتم منوا تتعلم,positive,kaggle_moroccan_sentiment,mixed
Maaaaasat,negative,kaggle_moroccan_sentiment,mixed
يعطيهم.الف.صحة,positive,kaggle_moroccan_sentiment,mixed
a7la stopha dima m7afelha bravo wasel & bon courage (y),positive,kaggle_moroccan_sentiment,mixed
ltawa mafhemtech 3lach tjibou fih .karakouz,negative,kaggle_moroccan_sentiment,mixed
مرمز عبد,negative,kaggle_moroccan_sentiment,mixed
Tfo t77ana,negative,kaggle_moroccan_sentiment,mixed
ليس هناك فرق واضح مع سابقيه منذ s10 الى الآن. ليس هناك إبداع، سامسونغ اصبحت محبطة لعشاقها.,negative,huggingface_darija_reviews,Arabic
Jani Bhal S21 Ultra Bedlo Lih Seulement type de Camera ou Design dialo Bhl Note 20 Ultra,negative,huggingface_darija_reviews,Arabizi
لا حول ولا قوة الا بالله تشجعون على الفسق واللواط لعنكم الله لن نسمح بهذه الصورة التي تشوهون فيها صورة بلادنا ،تونس دولة اسلامية اعوذ بالله من هذه الاشكال ومن مشجعيها,negative,kaggle_moroccan_sentiment,mixed
HANEN CHOGRANI......yessir 3assoula...,positive,kaggle_moroccan_sentiment,mixed
"Rabi y5alilek akel tho7ka""",positive,kaggle_moroccan_sentiment,mixed
حتى هو بقاو كان كعبتين يذكرونا بزمن التمثيل الجميل,positive,kaggle_moroccan_sentiment,mixed
صويت عالمي برافواااااااااا ...مش نرمال .. سيبوااا شكيب هههه,positive,kaggle_moroccan_sentiment,mixed
Bravooo bent blediiii Nchallah mabrouk 3liiiik 🎉🎈,positive,kaggle_moroccan_sentiment,mixed
ma7laak,positive,kaggle_moroccan_sentiment,mixed
عيب كبير انو الإعلام يعطي فرصة لمثل هؤلاء الشواذ للظهور على الملأ و التعريف بنشاطهم و ميولاتهم و مطالبهم .... و اعطاءهم حق الرد و السماح لبعض الشخصيات العامة للدفاع عنهم و مهاجمة من هاجمهم ...عيب كبير كي ولينا نشوفو حاجات كي هكة في التلفزة,negative,kaggle_moroccan_sentiment,mixed
بالرجولية معلم,positive,kaggle_moroccan_sentiment,mixed
محلاها و مفينها...بوزينها :*,positive,kaggle_moroccan_sentiment,mixed
mahleeeeeeeeeeeeeeeeek hannen.bravooooooooo,positive,kaggle_moroccan_sentiment,mixed
لماسط نور  و برهان  هلاش مڨحفين بربي,positive,kaggle_moroccan_sentiment,mixed
مناااااااااااااااااااااااااااااااافقة كبييييييييييييييييييييييييييييييييييييييييييرة,negative,kaggle_moroccan_sentiment,mixed
Tfouuuh 3likoum enta w ben gamra mta3ek chabeb da5ltouh f 7it na3lett allah 3likoum w 3alii ytabe3 fikoum,negative,kaggle_moroccan_sentiment,mixed
راك ماسط راك لاسط راك سلعة متشيخش جملة.صاحبي موكش متع فكاهة,negative,kaggle_moroccan_sentiment,mixed
راجل كبير وميبون,negative,kaggle_moroccan_sentiment,mixed
Wajha dima mnawra,positive,kaggle_moroccan_sentiment,mixed
akkkid m3almaa,positive,kaggle_moroccan_sentiment,mixed
N7bhaaa,positive,kaggle_moroccan_sentiment,mixed
Bravo jaw  ta7foun,positive,kaggle_moroccan_sentiment,mixed
7silou wa7dik ya karim,positive,kaggle_moroccan_sentiment,mixed
محلاهم الزوز روعة!,positive,kaggle_moroccan_sentiment,mixed
جالغ برشة وبا يزبّل السّهرية,negative,kaggle_moroccan_sentiment,mixed
A3az raper 3endi ye3jebni kalamou,positive,kaggle_moroccan_sentiment,mixed
heylaaa,positive,kaggle_moroccan_sentiment,mixed
Amin 3sal idinya,positive,kaggle_moroccan_sentiment,mixed
جميع المصممين يستعملوا نفس الثوب في كثير من المودلات و كتجي الكلكسيون زوينة و عندها قيمة,positive,huggingface_darija_reviews,Arabic
chnowa ha elmsata pff,negative,kaggle_moroccan_sentiment,mixed
تافه وساذج ملا مستويات العيب موش منوا ملي مستدعيه,negative,kaggle_moroccan_sentiment,mixed
Bravo semi m3alem,positive,kaggle_moroccan_sentiment,mixed
Patron,positive,kaggle_moroccan_sentiment,mixed
كافون يا معلم هو حر اش يغني مزاطيل و لا شق شق و لا حوماني و لي موش عاجبو يضرب راسو على الحيط,positive,kaggle_moroccan_sentiment,mixed
ماسط كيف ولدو,negative,kaggle_moroccan_sentiment,mixed
Ana  te 3jebni barcha,positive,kaggle_moroccan_sentiment,mixed
Wallahi wallit 5ayfa le yejina i3sare yedamerna fi joret hal manather lem9alba tga3ed bara rawa7 tfouuuuh,negative,kaggle_moroccan_sentiment,mixed
نوفل قداه نكرهو,negative,kaggle_moroccan_sentiment,mixed
قبل مانعس ضروري نتفرج فهاد السلسلة مكانملش منها ، وااعر وااعر هاد كبور ههههه المووت د الضحك,positive,huggingface_darija_reviews,Arabic
Bravoo ta7foun barcha 😍😍👍👍,positive,kaggle_moroccan_sentiment,mixed
بلطىأحسن مغنى رأب فى تونس مفيش إكلام,positive,kaggle_moroccan_sentiment,mixed
Oui mahlaha,positive,kaggle_moroccan_sentiment,mixed
Mamsatha fel  mousalsel hedha,negative,kaggle_moroccan_sentiment,mixed
hedhi 7al9a behya (y),positive,kaggle_moroccan_sentiment,mixed
Hhhhhh 7al9a 3alamia elila😁,positive,kaggle_moroccan_sentiment,mixed
خدمة نقية  تبارك الله عليك,positive,huggingface_darija_reviews,Arabic
ماسط و دم رزين,negative,kaggle_moroccan_sentiment,mixed
شاحلكا تزيدو. فيه كان عندي مجموعة كلها والو عادي غي كا يرطب,negative,huggingface_darija_reviews,Arabic
dhamer,positive,kaggle_moroccan_sentiment,mixed
العاهرة تشتغل بمخور,negative,kaggle_moroccan_sentiment,mixed
Bravo sayed elwazir,positive,kaggle_moroccan_sentiment,mixed
maset maset,negative,kaggle_moroccan_sentiment,mixed
Jet bmechekel ema ma7leha,positive,kaggle_moroccan_sentiment,mixed
Sa7a lik,positive,kaggle_moroccan_sentiment,mixed
m3allim  jalloul,positive,kaggle_moroccan_sentiment,mixed
Ja3for eser tayer eliom,positive,kaggle_moroccan_sentiment,mixed
محلاك عيشوشة نموت عليك 😻😍😘,positive,kaggle_moroccan_sentiment,mixed
hhhhh ma7leeeee  j'admire<3,positive,kaggle_moroccan_sentiment,mixed
رجل دين لكنو منافق و مراوغ ربي يهديه غلى علينا الخبزه,negative,kaggle_moroccan_sentiment,mixed
wajiha zinet el7al9a bravooooooooooo,positive,kaggle_moroccan_sentiment,mixed
Oui bhal lmaa okay hayed Mali rqchitih L9ayti feh chi riha mjhda ??,neutral,huggingface_darija_reviews,Arabizi
هاتف زبالة,negative,huggingface_darija_reviews,Arabic
ظهور جيد جدا ولوك جديد حلو,positive,kaggle_moroccan_sentiment,mixed
بدون تعليق,negative,kaggle_moroccan_sentiment,mixed
يعطيكم الصحة,positive,kaggle_moroccan_sentiment,mixed
mo9ded jahel w yfalem,negative,kaggle_moroccan_sentiment,mixed
Momtaza,positive,kaggle_moroccan_sentiment,mixed
Tfouu mala marka Kol mra jaybine chlka 9adch mamstik,negative,kaggle_moroccan_sentiment,mixed
ماسيخ زايد تعيشو طول عمركم طحانة,negative,kaggle_moroccan_sentiment,mixed
M3aleeeeeeeeeeeem,positive,kaggle_moroccan_sentiment,mixed
من حلقة إل حلقة يتحسن واصل،و ردبالك يغلبك في الحوار لطفي،دافع على رايك,positive,kaggle_moroccan_sentiment,mixed
ا احلاهم لخوات كيف يتروجلوا في بعضهم,positive,kaggle_moroccan_sentiment,mixed
العام الكامل من غير رمضان الماكلة زوينة نقية بنينة، المحل نقي و سربيس فالمستوى 😍😋😋😋,positive,huggingface_darija_reviews,Arabic
Na3lbouh elkaleb hatahan,negative,kaggle_moroccan_sentiment,mixed
3sal denya e5dem 3la rou7k w rabi m3ak,positive,kaggle_moroccan_sentiment,mixed
marouma ahsen wahda,positive,kaggle_moroccan_sentiment,mixed
Machaallah aliha,positive,kaggle_moroccan_sentiment,mixed
mamsta 😓,negative,kaggle_moroccan_sentiment,mixed
يا سي مورو معلم ديما كلامك موزون,positive,kaggle_moroccan_sentiment,mixed
تعرف وقتاش تظهر وتعرف اش تحكي  وما عندهاش التجغجيغ كيف  برشا ممثلين,positive,kaggle_moroccan_sentiment,mixed
amsset rajol f tari5 elbachariya,negative,kaggle_moroccan_sentiment,mixed
Brcha 9lt hya,negative,kaggle_moroccan_sentiment,mixed
برا الله يلعن بوك  وبو أمك العاهرة يا سامي الفهري يا طحان ماكش راجل بايع شرفك يا عديم الأصل يا ديوث تفووووووه عليك وعلى الطحانة اللي تبع فيك,negative,kaggle_moroccan_sentiment,mixed
مقرف لايقبل الحوار الممثل او الفنان ملك الجميع انا مثلا في المستقبل معادش نتفرج فيه  شىء مقرف  قواد شعب  طحان  ميبون,negative,kaggle_moroccan_sentiment,mixed
جلابة  المغربية  عند ألمغاربة  الاصول   يعرفوها  الا المغاربة 🇲🇦🇲🇦🇲🇦🇲🇦👑,positive,huggingface_darija_reviews,Arabic
بالله بعدو علينا ها المارك كيفو كي لوريمي كي البحيري كي ديلو الماكي كي شورو كي اللوز من المنابر والتلافز هما سبب المصايب في البلاد ربي يهلكهم,negative,kaggle_moroccan_sentiment,mixed
Hhh wa7dk karim,positive,kaggle_moroccan_sentiment,mixed
يعجبني و محلاه ، و أحسن رابور  .. نشاله ربي يعطيه ما يتمنى,positive,kaggle_moroccan_sentiment,mixed
Masiit 3al a5ir,negative,kaggle_moroccan_sentiment,mixed
جعفور يا معلم :* نشاء الله نشوفوك ديما في أعمال جديد bravo (y),positive,kaggle_moroccan_sentiment,mixed
ماسط برش no comment,negative,kaggle_moroccan_sentiment,mixed
"نجلاء ممثلة و مذيعة محترفة , مزيانة برشا تصلح تكون رئيسة الجمهورية !!!",positive,kaggle_moroccan_sentiment,mixed
rabi yechfilik bouk ama enti masit w lasit,negative,kaggle_moroccan_sentiment,mixed
واش بيرا فابور 🤣🤣🤣🤣 وياه زوين تم غ هو غالي شوي هدا مكان ✌🏻✌🏻❤️,negative,huggingface_darija_reviews,Arabic
5it ma5yabhhha 9adech nakraha,negative,kaggle_moroccan_sentiment,mixed
mouch normal  m3allém semi l féhri,positive,kaggle_moroccan_sentiment,mixed
Barcha 9elet torbya w9let 7yaaaa 3ala9al e7tarm chehar eli a7na fih 5af men rabi kifech bech t9ablo raho maynf3ek chy gir fe3lek tayeb 👎👎👎👎👎👎👌👌👌,negative,kaggle_moroccan_sentiment,mixed
ربي معاك نشالله وربي ضهرلك حقك ونحيييك وحظ موفق,positive,kaggle_moroccan_sentiment,mixed
ya3taha saha,positive,kaggle_moroccan_sentiment,mixed
ya3tih saha rouhou 5fiifa w fadléék  bravo et bon courage amine <3,positive,kaggle_moroccan_sentiment,mixed
بففف ولا ماسط,negative,kaggle_moroccan_sentiment,mixed
ماسييييييييط لاسط,negative,kaggle_moroccan_sentiment,mixed
9anet kefra,negative,kaggle_moroccan_sentiment,mixed
ماسط ومن لاخر عورلها برشه و تحل في لعريض و هو شخصيه هزيله موش هزليه,negative,kaggle_moroccan_sentiment,mixed
الله يعطيك الصحة في المستوى عندهم ساعات زوينين,positive,huggingface_darija_reviews,Arabic
nnn7bkkk,positive,kaggle_moroccan_sentiment,mixed
film wa3rrr,positive,huggingface_darija_reviews,Arabizi
Bravo mariem birasmi bravo ;) :*,positive,kaggle_moroccan_sentiment,mixed
bravo wlh yaser thamriiinnnn,positive,kaggle_moroccan_sentiment,mixed
Mwahra tbarkallah mlit leblasa enti b 10 m'en chakib,positive,kaggle_moroccan_sentiment,mixed
A7sen momathel tounsi bravo,positive,kaggle_moroccan_sentiment,mixed
Vrmt 3alamii,positive,kaggle_moroccan_sentiment,mixed
Mamstek w mathkel mleyektek,negative,kaggle_moroccan_sentiment,mixed
<3 masset lasset amma kifna twanssa el kol,negative,kaggle_moroccan_sentiment,mixed
دائما في النزاعات مع الجزائر او مصر او السنغال.. نعطيهم هدايا بالجملة و بالمجان، مثل حادثة المنشفة يوم النهائي،  على المغرب والمغاربة التعامل بالصرامة مع هذه القضايا لانهم يستغلون كل صغيرة و كبيرة ونحن نيام في العسل….,negative,hespress_manual_khalid,Arabic
ليلى الشابي لازمها ما عادش تظهر في التلفزة و لا راديو عام آخر.. خلينا نهظمو المساطة اللي سيبتهالنا الجمعة هذي.,negative,kaggle_moroccan_sentiment,mixed
اختي التيد ديال بيم كيدير هكاك مازوينش,negative,huggingface_darija_reviews,Arabic
مااااسط,negative,kaggle_moroccan_sentiment,mixed
"كايطيب مزيان و كولشي
غير خصو الاستعمال مرة مرة حيت دغيا كايفسدو
مهم ديال الديباناج",neutral,huggingface_darija_reviews,Arabic
ahla ziinaaaaaaa te3jebni baaarcha wallah bravoo :*,positive,kaggle_moroccan_sentiment,mixed
ya si   Lotfi   mey charfnech   hdhourik  behdha hel  massa5,negative,kaggle_moroccan_sentiment,mixed
Fiat Tipo sedan ahsen menha b 21 millions,negative,huggingface_darija_reviews,Arabizi
بدون تعليق أقوى رجل سياسة و نقطة وارجع للسطر,positive,kaggle_moroccan_sentiment,mixed
A3OUDHou bellah mala rahtt :O,negative,kaggle_moroccan_sentiment,mixed
إعلام العار هذا هذااعلام يرحم فمك يا بن بريك والفاهم يفهم,negative,kaggle_moroccan_sentiment,mixed
منك لله يا علي المريض ويا غنوشي انتم السبب اتفووووووووه عليكم يا خونة  يا مرتدين,negative,kaggle_moroccan_sentiment,mixed
الانسان هذا يعجبني حدو وحد روحو برافو واصل,positive,kaggle_moroccan_sentiment,mixed
Ahsen 7al9a fi 2014 hhhhhhhhhhh,positive,kaggle_moroccan_sentiment,mixed
Bravo etbarkaleh e3leha rabi iwafekha,positive,kaggle_moroccan_sentiment,mixed
Mtkhalif nes win wislit w fech 9a3da tasna3 w nes fin raj3a hatta illi 3mlou hakka 9bal rabbi msa7hm m denia ti hatta lhayawanat mysirch fe,negative,kaggle_moroccan_sentiment,mixed
Rana fadina woooooh,negative,kaggle_moroccan_sentiment,mixed
جعفور انت احسن فنان وانسان قبل فنان نحبوك ياسر اما بيناتنا السروال لحمر زاد فيك الشطر هههههه,positive,kaggle_moroccan_sentiment,mixed
انسان يعرف شنوة يقول بصراحة يعتيه الصحة,positive,kaggle_moroccan_sentiment,mixed
انت معلم  خوي لكبير,positive,kaggle_moroccan_sentiment,mixed
"Kant lyom fi electroplanet 3lah kijibo fi s22 ultra o kidiro check reference, sawlt galo Liya bli lversion dial SoC hiya Exynos 2200 Mchi snapdragon",neutral,huggingface_darija_reviews,Arabizi
Bravo walid t le meilleur,positive,kaggle_moroccan_sentiment,mixed
الشيب والعيب !!!,negative,kaggle_moroccan_sentiment,mixed
"تي قناة ماتكون كان صهيونية , عمرها ماجابت حاجة تنصر الدين . مختصة في الإنحلال الأخلاقي",negative,kaggle_moroccan_sentiment,mixed
Mastaa,negative,kaggle_moroccan_sentiment,mixed
Ta7foun bravo samii 😚😚,positive,kaggle_moroccan_sentiment,mixed
Dyal neutrogena zouin bezaf ead salithom kay3tiw wahed la fraicheur lwjeh khatiraa,positive,huggingface_darija_reviews,Arabizi
رجل بكل معنى الكلمة ;),positive,kaggle_moroccan_sentiment,mixed
راك ماسطة راك لاسطة,negative,kaggle_moroccan_sentiment,mixed
Ka insana ta3jabni barcha bsara7a,positive,kaggle_moroccan_sentiment,mixed
Tfouh 3likom jboura,negative,kaggle_moroccan_sentiment,mixed
ياسر ياسر ياسر رزينة,negative,kaggle_moroccan_sentiment,mixed
مسلسل تافه لا علاقة له بالواقع فالواقع اسوء بكثير,negative,kaggle_moroccan_sentiment,mixed
7al9a  7lowa,positive,kaggle_moroccan_sentiment,mixed
طحان بقرونو,negative,kaggle_moroccan_sentiment,mixed
wallahi 3ib eli ta3melou fih zouze erjel edahkou fil ness 3alikom malla torbiya 3anna wallat fi tounnes la techedha la mel metakef walla mel mowaten el 3adi wallahi chay assef,negative,kaggle_moroccan_sentiment,mixed
chab3a dha7ek 3ala badi bravo bendir,positive,kaggle_moroccan_sentiment,mixed
سعر معقول,positive,huggingface_darija_reviews,Arabic
مزية مزية ماعادش تجيبهالنا ليلى الشابي راهي امسط من المساطة وتافهة فاشلة,negative,kaggle_moroccan_sentiment,mixed
Borjouleya Msatet L'émission Dima Politique Politique Offffff,negative,kaggle_moroccan_sentiment,mixed
ﻋﻠﻴﻚ ﻳﺎ ﻣﺎﻛﺶ ﺭﺍﺟﻞ ﺷﻬﺮ ﻋﺒﺎﺩﺓ ﻋﺎﻣﻞ ﺑﻴﻪ ﻫﻜﻪ,negative,kaggle_moroccan_sentiment,mixed
Ye3jibeniii barchaa ...ou rabii m3ah 😂😂😂,positive,kaggle_moroccan_sentiment,mixed
برافو  راشد الخياري,positive,kaggle_moroccan_sentiment,mixed
تو بربي هاذه عبد تحكيو عليه الراجل ظربو الزهيمر وزيد مستواه منحط يسب في الجمهور,negative,kaggle_moroccan_sentiment,mixed
Yhabeeeel,positive,kaggle_moroccan_sentiment,mixed
إنسان منحط و مسخ و تاريخو سابقو مع قحاب المسرح اللي بعد ما تعطي و يطلعلها الدور المسرحي معفط تولي تبكي و تشكي ..الحاصل كي سيدي كي جوادو كيف البرنامج كيف ضيوفو ..تاريخ الدهماني عند حبوبة و صلاح مصباح وأش كليتي لوح يا براكة..و صحافي المجاري لطفي سواد رغم أنه في بعض الأحيان يقول كلمة في بلاصتها إلا أنه قواد و صحافي البلاط و شكون يدفع أكثر و معروف عنه أنه متحيل و لحبيب جغام مدفون في الإذاعة على نفس النسق من عهد بورقيبة و يزيد يفرض على الإذاعات الخاصة نفس البرمجة لوغة ناس بكري في ناس ليوم نصيحة مني حاول قدم و هات شيء جديد ومفيد خير من الوحلة اللي واحلها و سمير ديلو أحد لصوص النهضة كرشو و صلعتو كبرت و تقلبت الفيستة يا عفاط و التاريخ لن يرحمك و الترويكا و شيخكم شيخ الوبنة الخريجي و هاك المقدم الباسل و الأسئلة الوبنية الفكرية شنية المغزى من إنك تجيب تصويرة كاترين زيتا جونز لواحد ليبيدو و تسألو تقلو شنية تقول ..أنا نقلك جاب ربي ما جاوبكش إنها تفكرو في أمك .. لستم أهل للحرية و إعلامكم عاهر و داعر و لستم أهل للحرية يليق بكم جائزة أعطي صرمك و هز ساقيك نعملك برنامج ليك .. كادوريم قزمت روحك بحضورك في برامج جايبينك باش ت...,negative,kaggle_moroccan_sentiment,mixed
Wlh chapeau lihm,positive,kaggle_moroccan_sentiment,mixed
Tayara fi tamthil bayrem.,positive,kaggle_moroccan_sentiment,mixed
بارشة افساد الحمد الله فسختها عندي مدة من الرسيفير,negative,kaggle_moroccan_sentiment,mixed
طحين و دخان,negative,kaggle_moroccan_sentiment,mixed
BGHINA TEST CAMERA 14 PRO MAX VS 13 PRO MAX,neutral,huggingface_darija_reviews,Arabizi
Ta7an bn 3li 9awed mzel ymed fi wejhou fi tv malla marek,negative,kaggle_moroccan_sentiment,mixed
انتي ممثلة بارعة و متالقة،وفرضت وجودك في بلادك،ومحبيتش تخرج خارج الوطن تلوج علي الشهرة كيما زملاء ك المومثلين برافو,positive,kaggle_moroccan_sentiment,mixed
ساعة تستحق,positive,huggingface_darija_reviews,Arabic
بربي علاش جايبينو؟ باش ينبر,negative,kaggle_moroccan_sentiment,mixed
ja3fourrrr boo zenkkk 😙😙😘😘😘,positive,kaggle_moroccan_sentiment,mixed
فوزي بن ڨمرة كان أحسن فنان شعبي و أصبح أحسن منشد ديني,positive,kaggle_moroccan_sentiment,mixed
Tbarkalah 3leha ta3jebni bent semi,positive,kaggle_moroccan_sentiment,mixed
Tbarkala alik wajiha fanana chamla w kamla w thohka 3sal,positive,kaggle_moroccan_sentiment,mixed
تحية الي الوزير التربية الي. دخل قلوب التوانسة بمواقفه ضد تبييض الارهاب حقيقة تقال لرجل صادق. يبحث عنه التونسيون ليكون مكان الصيد,positive,kaggle_moroccan_sentiment,mixed
ﻓﻴﻚ ﻳﺎ ﻛﻠﺐ ﻭﺍﻟﻠﻪ ﺗﺴﺘﺎﻫﻞ ﺍﻟﺬﺑﺢ ﻓﻲ ﻫﺎ ﺍﻟﺸﻬﺮ,negative,kaggle_moroccan_sentiment,mixed
عسسسسسسسسل,positive,kaggle_moroccan_sentiment,mixed
مسلسل خامج لعام جاي مسلسل فيه بنت سامي الفهري. تغتصب,negative,kaggle_moroccan_sentiment,mixed
Ya3tikom saha,positive,kaggle_moroccan_sentiment,mixed
Mahla zinek mariyouma,positive,kaggle_moroccan_sentiment,mixed
كلاب مرتزقة,negative,kaggle_moroccan_sentiment,mixed
تبقى أفريقيا ذات أهمية استراتيجية لنا نحن المغاربة، وسنظل كذلك، وعلينا أن نكون مبدعين في مواجهة الهجمات الإرهابية. يجب علينا الالتزام باللوائح، واستخدام البنية التحتية البحرية لمدينة الداخلة لنقل البضائع المغربية إلى الدول الأفريقية الساحلية (السنغال، غامبيا، غينيا بيساو، غينيا، سيراليون، ليبيريا، ساحل العاج، غانا، توغو، بنين، نيجيريا، والكاميرون) من ميناء الداخلة إلى موانئ هذه الدول. بهذه الطريقة، يمكننا التوصيل من ميناء إلى آخر، وبمجرد أن يصبح هذا النظام أكثر أمانًا، يمكننا استخدام طرق أخرى أيضًا. لا تتخلوا عن أفريقيا، فنحن ببساطة جزء منها.,neutral,hespress_manual_khalid,Arabic
قناة الفساد مسخييين والله أقلية مسخين كيفكم قعدو يتفرجوا فيكم ....اخيييت,negative,kaggle_moroccan_sentiment,mixed
لسانها طويل برشا سبحان الله رجلها كيفاش مزال صابر عليها,negative,kaggle_moroccan_sentiment,mixed
تقعد من خيرة الفنانات في تونس,positive,kaggle_moroccan_sentiment,mixed
احلى جعفور انشاء الله تكون قدوة لبرشا ممثلين و انشاء الله من حسن الى احسن و احلى تحية مني و من اهالي معتمدية بني خلاد الى جعفور :* ربي يكثر منك الناس :*,positive,kaggle_moroccan_sentiment,mixed
Bismelah wmachalah 3iniha hbel,positive,kaggle_moroccan_sentiment,mixed
baravo,positive,kaggle_moroccan_sentiment,mixed
ta7on,negative,kaggle_moroccan_sentiment,mixed
m3allma (y),positive,kaggle_moroccan_sentiment,mixed
